frame_count,1-h,1-s,1-v,condition,2-h,2-s,2-v,condition,3-h,3-s,3-v,conditon,4-h,4-s,4-v,condition,
235,169,255,255,alive,170,255,255,alive,168,255,255,alive,168,255,255,alive,
236,169,255,255,alive,169,255,255,alive,169,255,255,alive,168,255,255,alive,
237,169,255,255,alive,169,255,255,alive,169,255,255,alive,169,255,255,alive,
238,169,255,255,alive,169,255,255,alive,169,255,255,alive,169,255,255,alive,
239,169,255,255,alive,169,255,255,alive,169,255,255,alive,169,255,255,alive,
240,169,255,255,alive,169,255,255,alive,169,255,255,alive,169,255,255,alive,
241,169,255,255,alive,170,255,255,alive,169,255,255,alive,169,255,255,alive,
242,169,255,255,alive,170,255,255,alive,169,255,255,alive,169,255,255,alive,
243,169,255,255,alive,170,255,255,alive,168,255,255,alive,169,255,255,alive,
244,170,255,255,alive,170,255,255,alive,169,255,255,alive,169,255,255,alive,
245,169,255,255,alive,170,255,255,alive,169,255,255,alive,170,255,255,alive,
246,169,255,255,alive,171,255,255,alive,0,255,255,alive,169,255,255,alive,
247,169,255,255,alive,170,255,255,alive,0,255,255,alive,170,255,255,alive,
248,169,255,255,alive,170,255,255,alive,169,255,255,alive,170,255,255,alive,
249,169,255,255,alive,170,255,255,alive,168,255,255,alive,170,255,255,alive,
250,169,255,255,alive,170,255,255,alive,0,255,255,alive,170,255,255,alive,
251,169,255,255,alive,170,255,255,alive,0,255,255,alive,170,255,255,alive,
252,169,255,255,alive,170,255,255,alive,0,255,255,alive,170,255,255,alive,
253,169,255,255,alive,170,255,255,alive,0,255,255,alive,170,255,255,alive,
254,169,255,255,alive,169,255,255,alive,168,255,255,alive,170,255,255,alive,
255,169,255,255,alive,169,255,255,alive,0,255,255,alive,169,255,255,alive,
256,169,255,255,alive,169,255,255,alive,0,255,255,alive,170,255,255,alive,
257,170,255,255,alive,169,255,255,alive,168,255,255,alive,170,255,255,alive,
258,0,255,255,sp,170,255,255,,168,255,255,,170,255,255,,
259,0,255,255,sp,170,255,255,,168,255,255,,170,255,255,,
260,0,255,255,sp,169,255,255,,0,255,255,,169,255,255,,
261,0,255,255,sp,169,255,255,,0,255,255,,169,255,255,,
262,0,255,255,sp,169,255,255,,0,255,255,,170,255,255,,
263,0,255,255,sp,169,255,255,,0,255,255,,170,255,255,,
264,0,255,255,sp,169,255,255,,0,255,255,,170,255,255,,
265,0,255,255,sp,169,255,255,,0,255,255,,170,255,255,,
266,0,255,255,sp,169,255,255,,168,255,255,,169,255,255,,
267,0,255,255,sp,169,255,255,,168,255,255,,169,255,255,,
268,0,255,255,sp,169,255,255,,168,255,255,,170,255,255,,
269,0,255,255,sp,169,255,255,,168,255,255,,170,255,255,,
270,0,255,255,sp,170,255,255,,0,255,255,,170,255,255,,
271,0,255,255,sp,170,255,255,,167,255,255,,169,255,255,,
272,0,255,255,sp,169,255,255,,0,255,255,,172,255,255,,
