frame_count,1-h,1-s,1-v,2-h,2-s,2-v,3-h,3-s,3-v,4-h,4-s,4-v
285,96,255,255,96,255,255,95,255,255,94,255,255
286,96,255,255,97,255,255,95,255,255,93,255,255
287,96,255,255,94,255,255,95,255,255,93,255,255
288,97,255,255,96,255,255,95,255,255,93,255,255
289,97,255,255,95,255,255,94,255,255,93,255,255
290,96,255,255,94,255,255,95,255,255,93,255,255
291,96,255,255,96,255,255,95,255,255,93,255,255
292,96,255,255,96,255,255,95,255,255,93,255,255
293,96,255,255,94,255,255,95,255,255,93,255,255
294,96,255,255,97,255,255,95,255,255,93,255,255
295,96,255,255,96,255,255,95,255,255,93,255,255
296,96,255,255,95,255,255,95,255,255,93,255,255
297,96,255,255,97,255,255,95,255,255,93,255,255
298,96,255,255,96,255,255,95,255,255,93,255,255
299,96,255,255,96,255,255,94,255,255,94,255,255
300,96,255,255,96,255,255,95,255,255,94,255,255
301,96,255,255,96,255,255,94,255,255,93,255,255
302,96,255,255,96,255,255,94,255,255,94,255,255
303,97,255,255,97,255,255,95,255,255,93,255,255
304,96,255,255,97,255,255,95,255,255,94,255,255
305,96,255,255,96,255,255,95,255,255,94,255,255
306,96,255,255,97,255,255,95,255,255,94,255,255
307,96,255,255,97,255,255,95,255,255,95,255,255
308,96,255,255,97,255,255,95,255,255,94,255,255
309,96,255,255,96,255,255,95,255,255,94,255,255
310,96,255,255,96,255,255,95,255,255,95,255,255
311,96,255,255,96,255,255,95,255,255,95,255,255
312,96,255,255,96,255,255,95,255,255,95,255,255
313,97,255,255,96,255,255,95,255,255,95,255,255
314,96,255,255,96,255,255,95,255,255,94,255,255
315,97,255,255,96,255,255,95,255,255,95,255,255
316,97,255,255,96,255,255,95,255,255,95,255,255
317,97,255,255,96,255,255,95,255,255,94,255,255
318,97,255,255,96,255,255,95,255,255,94,255,255
319,97,255,255,96,255,255,95,255,255,95,255,255
320,96,255,255,96,255,255,95,255,255,95,255,255
321,96,255,255,96,255,255,95,255,255,95,255,255
322,96,255,255,96,255,255,95,255,255,94,255,255
323,96,255,255,96,255,255,95,255,255,94,255,255
324,96,255,255,96,255,255,95,255,255,95,255,255
325,96,255,255,95,255,255,95,255,255,95,255,255
326,96,255,255,95,255,255,95,255,255,94,255,255
327,96,255,255,95,255,255,95,255,255,95,255,255
328,96,255,255,95,255,255,95,255,255,95,255,255
329,96,255,255,95,255,255,95,255,255,95,255,255
330,96,255,255,95,255,255,95,255,255,95,255,255
331,96,255,255,95,255,255,95,255,255,95,255,255
332,96,255,255,95,255,255,95,255,255,95,255,255
333,96,255,255,96,255,255,95,255,255,94,255,255
334,96,255,255,95,255,255,95,255,255,95,255,255
335,96,255,255,95,255,255,95,255,255,95,255,255
336,96,255,255,95,255,255,95,255,255,94,255,255
337,96,255,255,95,255,255,95,255,255,95,255,255
338,96,255,255,96,255,255,95,255,255,95,255,255
339,96,255,255,96,255,255,95,255,255,95,255,255
340,96,255,255,94,255,255,95,255,255,95,255,255
341,96,255,255,96,255,255,95,255,255,95,255,255
342,96,255,255,96,255,255,95,255,255,95,255,255
343,96,255,255,96,255,255,95,255,255,95,255,255
344,96,255,255,96,255,255,95,255,255,95,255,255
345,96,255,255,96,255,255,95,255,255,95,255,255
346,96,255,255,96,255,255,95,255,255,95,255,255
347,96,255,255,96,255,255,95,255,255,95,255,255
348,96,255,255,96,255,255,95,255,255,95,255,255
349,96,255,255,96,255,255,95,255,255,95,255,255
350,96,255,255,96,255,255,95,255,255,95,255,255
351,96,255,255,95,255,255,95,255,255,95,255,255
352,95,255,255,95,255,255,95,255,255,95,255,255
353,96,255,255,95,255,255,95,255,255,93,255,255
354,95,255,255,94,255,255,95,255,255,95,255,255
355,95,255,255,94,255,255,95,255,255,94,255,255
356,95,255,255,94,255,255,95,255,255,95,255,255
357,96,255,255,94,255,255,95,255,255,94,255,255
358,95,255,255,94,255,255,95,255,255,95,255,255
359,95,255,255,96,255,255,95,255,255,95,255,255
360,96,255,255,95,255,255,95,255,255,95,255,255
361,96,255,255,95,255,255,95,255,255,95,255,255
362,96,255,255,95,255,255,95,255,255,94,255,255
363,96,255,255,94,255,255,95,255,255,95,255,255
364,95,255,255,96,255,255,95,255,255,94,255,255
365,96,255,255,96,255,255,95,255,255,94,255,255
366,96,255,255,96,255,255,95,255,255,95,255,255
367,96,255,255,96,255,255,95,255,255,94,255,255
368,96,255,255,96,255,255,95,255,255,94,255,255
369,96,255,255,96,255,255,95,255,255,94,255,255
370,96,255,255,96,255,255,95,255,255,95,255,255
371,96,255,255,96,255,255,95,255,255,95,255,255
372,96,255,255,96,255,255,95,255,255,94,255,255
373,96,255,255,96,255,255,95,255,255,94,255,255
374,96,255,255,96,255,255,95,255,255,94,255,255
375,96,255,255,96,255,255,95,255,255,94,255,255
376,96,255,255,96,255,255,95,255,255,94,255,255
377,95,255,255,96,255,255,95,255,255,94,255,255
378,95,255,255,96,255,255,95,255,255,94,255,255
379,95,255,255,96,255,255,95,255,255,94,255,255
380,95,255,255,96,255,255,95,255,255,94,255,255
381,95,255,255,96,255,255,95,255,255,94,255,255
382,95,255,255,96,255,255,95,255,255,94,255,255
383,95,255,255,96,255,255,95,255,255,94,255,255
384,95,255,255,96,255,255,95,255,255,94,255,255
385,95,255,255,96,255,255,95,255,255,94,255,255
386,95,255,255,96,255,255,95,255,255,94,255,255
387,95,255,255,96,255,255,95,255,255,95,255,255
388,95,255,255,96,255,255,95,255,255,95,255,255
389,95,255,255,96,255,255,95,255,255,94,255,255
390,95,255,255,96,255,255,95,255,255,94,255,255
391,95,255,255,95,255,255,95,255,255,94,255,255
392,95,255,255,96,255,255,95,255,255,94,255,255
393,96,255,255,94,255,255,95,255,255,94,255,255
394,96,255,255,94,255,255,94,255,255,94,255,255
395,96,255,255,96,255,255,94,255,255,94,255,255
396,96,255,255,94,255,255,95,255,255,94,255,255
